alert_id,district_id,alert_date,alert_type,severity,previous_risk_score,previous_risk_level,cases_estimated,response_delay_hours,anomaly_score,alert_status
1,1,2020-08-20,vector_borne_disease,low,0.231,low,6,21.4,0.136,monitored
2,1,2020-11-27,heat_wave,low,0.204,low,5,19.5,0.074,resolved
3,1,2020-12-12,heat_wave,low,0.224,low,11,18.6,0.111,resolved
4,1,2021-09-26,vector_borne_disease,low,0.247,low,11,16.6,0.145,resolved
5,1,2022-01-08,heat_wave,low,0.382,low,10,21.9,0.352,monitored
6,1,2022-07-07,vector_borne_disease,low,0.158,low,5,18.2,0.0,resolved
7,1,2022-10-16,vector_borne_disease,low,0.28,low,9,20.9,0.208,monitored
8,1,2023-04-11,heat_wave,low,0.158,low,5,18.4,0.0,monitored
9,1,2023-06-28,heat_wave,low,0.161,low,9,27.2,0.0,monitored
10,1,2023-09-23,vector_borne_disease,low,0.181,low,10,20.5,0.0,resolved
11,1,2023-09-25,vector_borne_disease,low,0.205,low,11,13.0,0.084,resolved
12,1,2024-01-03,heat_wave,low,0.312,low,7,29.5,0.27,resolved
13,2,2020-01-24,heat_wave,low,0.214,low,5,23.3,0.125,monitored
14,2,2020-04-17,heat_wave,low,0.111,low,5,15.6,0.0,resolved
15,2,2020-05-16,heat_wave,low,0.104,low,5,21.1,0.0,resolved
16,2,2020-09-24,flood,low,0.309,low,5,35.9,0.285,resolved
17,2,2020-10-29,vector_borne_disease,low,0.34,low,5,24.4,0.34,monitored
18,2,2021-03-01,heat_wave,low,0.125,low,5,32.2,0.0,resolved
19,2,2021-11-30,heat_wave,low,0.328,low,5,16.3,0.319,resolved
20,2,2022-02-10,heat_wave,low,0.188,low,5,38.1,0.079,monitored
21,2,2022-11-30,heat_wave,low,0.321,low,5,19.1,0.315,resolved
22,2,2023-01-27,heat_wave,low,0.223,low,5,33.3,0.133,resolved
23,2,2023-06-22,flood,low,0.121,low,5,16.3,0.0,resolved
24,2,2023-10-04,vector_borne_disease,low,0.288,low,5,13.3,0.275,resolved
25,2,2023-12-15,heat_wave,low,0.328,low,5,29.4,0.323,resolved
26,2,2024-09-24,flood,low,0.338,low,5,21.8,0.324,resolved
27,2,2024-09-29,flood,low,0.265,low,5,25.2,0.213,resolved
28,3,2020-09-28,flood,low,0.284,low,38,23.0,0.224,resolved
29,3,2021-01-08,heat_wave,low,0.29,low,53,17.2,0.22,resolved
30,3,2021-09-10,flood,low,0.298,low,26,7.1,0.225,resolved
31,3,2021-11-02,heat_wave,low,0.36,low,59,22.3,0.378,resolved
32,3,2021-11-26,heat_wave,low,0.371,low,39,18.4,0.363,monitored
33,3,2021-12-01,heat_wave,low,0.378,low,59,10.8,0.352,monitored
34,3,2022-01-02,heat_wave,low,0.344,low,48,27.2,0.313,monitored
35,3,2022-01-10,heat_wave,low,0.327,low,47,3.1,0.272,monitored
36,3,2022-02-10,heat_wave,low,0.218,low,19,26.3,0.073,resolved
37,3,2022-04-25,heat_wave,low,0.136,low,18,18.1,0.0,monitored
38,3,2022-10-09,vector_borne_disease,low,0.344,low,40,14.0,0.316,resolved
39,3,2022-12-09,heat_wave,low,0.348,low,69,14.4,0.332,resolved
40,3,2023-01-11,heat_wave,low,0.285,low,61,7.4,0.221,resolved
41,3,2023-04-12,heat_wave,low,0.136,low,28,31.5,0.0,resolved
42,3,2024-07-15,flood,low,0.158,low,33,19.1,0.0,resolved
43,3,2024-08-07,flood,low,0.19,low,31,6.1,0.055,resolved
44,3,2024-09-10,flood,low,0.287,low,46,25.1,0.229,monitored
45,3,2024-10-15,vector_borne_disease,low,0.383,low,35,29.3,0.385,monitored
46,3,2024-11-27,heat_wave,low,0.364,low,44,21.5,0.323,active
47,4,2020-06-16,heat_wave,low,0.154,low,40,23.0,0.0,monitored
48,4,2020-09-04,vector_borne_disease,low,0.236,low,64,24.4,0.119,monitored
49,4,2021-01-10,heat_wave,low,0.211,low,22,23.8,0.083,resolved
50,4,2021-03-16,heat_wave,low,0.18,low,44,20.5,0.0,monitored
51,4,2021-08-04,vector_borne_disease,low,0.15,low,18,20.9,0.0,resolved
52,4,2021-09-18,vector_borne_disease,low,0.307,low,77,28.4,0.223,resolved
53,4,2021-10-07,vector_borne_disease,low,0.332,low,36,19.2,0.297,monitored
54,4,2021-10-27,vector_borne_disease,low,0.373,low,59,33.9,0.361,resolved
55,4,2022-08-04,vector_borne_disease,low,0.166,low,43,5.3,0.0,resolved
56,4,2022-10-14,vector_borne_disease,low,0.382,low,99,28.0,0.386,resolved
57,4,2022-11-27,heat_wave,medium,0.403,medium,40,15.0,0.408,resolved
58,4,2023-01-15,heat_wave,low,0.337,low,59,30.4,0.292,resolved
59,4,2023-04-22,heat_wave,low,0.175,low,47,18.9,0.0,monitored
60,4,2023-12-08,heat_wave,low,0.157,low,23,28.8,0.0,monitored
61,4,2024-01-05,heat_wave,low,0.385,low,99,15.8,0.38,resolved
62,4,2024-05-01,heat_wave,low,0.184,low,22,22.4,0.022,resolved
63,4,2024-11-09,heat_wave,low,0.299,low,65,14.7,0.236,monitored
64,5,2021-04-23,heat_wave,low,0.129,low,26,18.9,0.0,resolved
65,5,2021-10-02,vector_borne_disease,low,0.261,low,60,14.4,0.226,resolved
66,5,2021-12-21,heat_wave,low,0.211,low,40,22.9,0.148,resolved
67,5,2022-02-07,heat_wave,low,0.118,low,21,10.5,0.0,resolved
68,5,2022-12-26,heat_wave,low,0.184,low,30,26.0,0.091,resolved
69,5,2023-03-01,heat_wave,low,0.118,low,11,23.0,0.0,resolved
70,5,2023-04-14,heat_wave,low,0.111,low,18,16.1,0.0,resolved
71,5,2023-07-07,vector_borne_disease,low,0.103,low,23,21.7,0.0,resolved
72,5,2024-05-14,heat_wave,low,0.11,low,16,32.5,0.0,resolved
73,5,2024-06-04,heat_wave,low,0.121,low,30,12.2,0.0,resolved
74,5,2024-12-21,heat_wave,low,0.283,low,27,32.8,0.282,monitored
75,6,2020-01-02,heat_wave,low,0.312,low,139,14.8,0.193,monitored
76,6,2020-07-22,vector_borne_disease,low,0.178,low,96,18.8,0.0,resolved
77,6,2020-08-29,vector_borne_disease,low,0.303,low,106,15.4,0.163,resolved
78,6,2020-09-15,vector_borne_disease,low,0.32,low,183,19.5,0.213,resolved
79,6,2020-12-30,heat_wave,low,0.3,low,183,25.2,0.162,resolved
80,6,2021-01-07,heat_wave,low,0.324,low,192,21.2,0.183,monitored
81,6,2021-06-16,heat_wave,low,0.195,low,110,11.1,0.0,resolved
82,6,2021-07-12,vector_borne_disease,low,0.192,low,74,30.5,0.0,monitored
83,6,2021-10-16,vector_borne_disease,low,0.386,low,249,11.5,0.313,resolved
84,6,2022-02-18,heat_wave,low,0.209,low,130,30.4,0.0,resolved
85,6,2022-04-22,heat_wave,low,0.177,low,85,18.3,0.0,resolved
86,6,2022-10-07,vector_borne_disease,low,0.394,low,102,14.8,0.297,resolved
87,6,2022-10-21,vector_borne_disease,low,0.363,low,97,21.7,0.265,resolved
88,6,2022-11-04,heat_wave,low,0.379,low,232,23.5,0.309,resolved
89,6,2022-11-24,heat_wave,low,0.329,low,108,20.4,0.203,monitored
90,6,2022-12-21,heat_wave,low,0.359,low,253,21.6,0.278,resolved
91,6,2023-01-20,heat_wave,low,0.193,low,49,31.6,0.0,resolved
92,6,2023-03-16,heat_wave,low,0.196,low,127,26.2,0.0,resolved
93,6,2023-08-08,vector_borne_disease,low,0.207,low,94,14.3,0.0,resolved
94,6,2023-09-11,vector_borne_disease,low,0.302,low,196,12.3,0.175,resolved
95,6,2023-09-20,vector_borne_disease,low,0.34,low,88,18.1,0.233,resolved
96,6,2023-11-11,heat_wave,low,0.36,low,235,15.4,0.286,resolved
97,6,2024-02-24,heat_wave,low,0.191,low,56,10.7,0.0,monitored
98,6,2024-07-10,vector_borne_disease,low,0.213,low,129,28.6,0.0,resolved
99,6,2024-08-11,vector_borne_disease,low,0.21,low,69,10.7,0.012,resolved
100,6,2024-10-06,vector_borne_disease,medium,0.407,medium,254,16.1,0.346,active
101,6,2024-10-18,vector_borne_disease,low,0.293,low,142,15.0,0.137,monitored
102,7,2020-02-12,heat_wave,low,0.222,low,38,22.6,0.024,resolved
103,7,2020-03-19,heat_wave,low,0.167,low,52,39.3,0.0,resolved
104,7,2020-05-06,heat_wave,low,0.189,low,85,18.7,0.0,resolved
105,7,2020-06-04,flood,low,0.169,low,83,23.1,0.0,monitored
106,7,2020-09-22,flood,medium,0.406,medium,138,17.1,0.351,resolved
107,7,2020-10-07,vector_borne_disease,medium,0.407,medium,183,22.2,0.363,resolved
108,7,2020-10-18,vector_borne_disease,medium,0.43,medium,132,15.3,0.385,resolved
109,7,2020-12-17,heat_wave,low,0.383,low,80,14.9,0.297,resolved
110,7,2020-12-27,heat_wave,low,0.388,low,183,22.3,0.314,resolved
111,7,2021-06-16,flood,low,0.169,low,34,30.8,0.0,monitored
112,7,2021-07-17,flood,low,0.19,low,76,23.2,0.0,resolved
113,7,2021-10-22,vector_borne_disease,medium,0.475,medium,98,8.4,0.439,resolved
114,7,2021-12-17,heat_wave,medium,0.413,medium,87,13.8,0.382,resolved
115,7,2021-12-23,heat_wave,low,0.378,low,94,22.7,0.296,monitored
116,7,2022-04-06,heat_wave,low,0.184,low,78,31.8,0.0,resolved
117,7,2022-06-18,flood,low,0.179,low,54,18.3,0.0,resolved
118,7,2022-10-20,vector_borne_disease,medium,0.442,medium,182,16.7,0.414,resolved
119,7,2022-12-05,heat_wave,medium,0.41,medium,169,1.0,0.365,resolved
120,7,2023-09-27,flood,low,0.383,low,83,18.0,0.307,resolved
121,7,2024-01-31,heat_wave,low,0.26,low,44,16.0,0.12,resolved
122,7,2024-02-17,heat_wave,low,0.209,low,93,23.3,0.024,resolved
123,7,2024-04-10,heat_wave,low,0.155,low,66,10.4,0.0,monitored
124,7,2024-09-06,flood,low,0.356,low,173,13.0,0.266,resolved
125,7,2024-10-28,vector_borne_disease,medium,0.444,medium,143,27.4,0.413,monitored
126,7,2024-11-04,heat_wave,medium,0.414,medium,140,9.7,0.375,active
127,8,2020-04-06,heat_wave,low,0.153,low,24,12.5,0.0,resolved
128,8,2020-10-24,vector_borne_disease,low,0.34,low,90,17.1,0.292,resolved
129,8,2021-01-25,heat_wave,low,0.147,low,28,23.0,0.0,resolved
130,8,2021-05-20,heat_wave,low,0.135,low,20,13.7,0.0,resolved
131,8,2021-09-07,vector_borne_disease,low,0.245,low,31,19.4,0.138,resolved
132,8,2022-04-07,heat_wave,low,0.149,low,30,30.7,0.0,resolved
133,8,2022-07-03,vector_borne_disease,low,0.153,low,31,25.3,0.0,monitored
134,8,2022-08-14,vector_borne_disease,low,0.151,low,23,29.4,0.0,resolved
135,8,2022-09-18,vector_borne_disease,low,0.269,low,50,24.2,0.163,resolved
136,8,2023-01-25,heat_wave,low,0.201,low,52,28.1,0.083,monitored
137,8,2023-08-08,vector_borne_disease,low,0.162,low,24,15.6,0.006,monitored
138,8,2023-10-16,vector_borne_disease,low,0.296,low,52,21.9,0.228,resolved
139,8,2023-12-02,heat_wave,low,0.208,low,48,21.2,0.095,monitored
140,8,2023-12-13,heat_wave,low,0.306,low,30,20.9,0.259,resolved
141,8,2024-01-14,heat_wave,low,0.196,low,51,21.8,0.076,monitored
142,8,2024-02-05,heat_wave,low,0.224,low,56,14.5,0.12,monitored
