alert_id,district_id,alert_date,alert_type,severity,status
ALT000001,D001,2023-04-27,HEALTH_RISK,MEDIUM,RESOLVED
ALT000002,D001,2023-04-21,HEALTH_RISK,MEDIUM,RESOLVED
ALT000003,D001,2023-04-18,HEALTH_RISK,MEDIUM,RESOLVED
ALT000004,D001,2023-05-11,HEALTH_RISK,MEDIUM,RESOLVED
ALT000005,D001,2023-06-23,OUTBREAK,HIGH,RESOLVED
ALT000006,D001,2023-06-23,OUTBREAK,HIGH,RESOLVED
ALT000007,D001,2023-06-15,OUTBREAK,HIGH,RESOLVED
ALT000008,D001,2023-07-13,OUTBREAK,HIGH,RESOLVED
ALT000009,D001,2023-07-08,OUTBREAK,HIGH,RESOLVED
ALT000010,D001,2023-07-01,OUTBREAK,HIGH,RESOLVED
ALT000011,D001,2023-07-02,OUTBREAK,HIGH,RESOLVED
ALT000012,D001,2023-07-12,OUTBREAK,HIGH,RESOLVED
ALT000013,D001,2023-07-15,OUTBREAK,HIGH,RESOLVED
ALT000014,D001,2023-08-22,WATERBORNE,HIGH,RESOLVED
ALT000015,D001,2023-08-08,WATERBORNE,HIGH,RESOLVED
ALT000016,D001,2023-08-06,WATERBORNE,HIGH,RESOLVED
ALT000017,D001,2023-08-14,WATERBORNE,HIGH,RESOLVED
ALT000018,D001,2023-08-28,WATERBORNE,HIGH,RESOLVED
ALT000019,D001,2023-08-10,WATERBORNE,HIGH,RESOLVED
ALT000020,D001,2023-09-17,WATERBORNE,HIGH,RESOLVED
ALT000021,D001,2023-09-13,WATERBORNE,HIGH,RESOLVED
ALT000022,D001,2023-09-24,WATERBORNE,HIGH,RESOLVED
ALT000023,D001,2023-09-23,WATERBORNE,HIGH,RESOLVED
ALT000024,D001,2023-09-23,WATERBORNE,HIGH,RESOLVED
ALT000025,D001,2023-09-25,WATERBORNE,HIGH,RESOLVED
ALT000026,D001,2023-10-22,WATERBORNE,HIGH,RESOLVED
ALT000027,D001,2023-10-28,WATERBORNE,HIGH,RESOLVED
ALT000028,D001,2023-10-26,WATERBORNE,HIGH,RESOLVED
ALT000029,D001,2023-11-11,WATERBORNE,HIGH,RESOLVED
ALT000030,D001,2023-11-15,WATERBORNE,HIGH,RESOLVED
ALT000031,D001,2023-11-17,WATERBORNE,HIGH,RESOLVED
ALT000032,D001,2023-11-24,WATERBORNE,HIGH,RESOLVED
ALT000033,D001,2023-12-10,OUTBREAK,HIGH,RESOLVED
ALT000034,D001,2023-12-22,OUTBREAK,HIGH,RESOLVED
ALT000035,D001,2023-12-02,OUTBREAK,HIGH,RESOLVED
ALT000036,D001,2023-12-03,OUTBREAK,HIGH,RESOLVED
ALT000037,D001,2023-12-11,OUTBREAK,HIGH,RESOLVED
ALT000038,D001,2024-01-26,WATERBORNE,MEDIUM,RESOLVED
ALT000039,D001,2024-01-10,WATERBORNE,MEDIUM,RESOLVED
ALT000040,D001,2024-01-11,WATERBORNE,MEDIUM,RESOLVED
ALT000041,D001,2024-02-20,WATERBORNE,MEDIUM,RESOLVED
ALT000042,D001,2024-03-03,WATERBORNE,MEDIUM,RESOLVED
ALT000043,D001,2024-03-06,WATERBORNE,MEDIUM,RESOLVED
ALT000044,D001,2024-03-01,WATERBORNE,MEDIUM,RESOLVED
ALT000045,D001,2024-04-07,HEALTH_RISK,MEDIUM,RESOLVED
ALT000046,D001,2024-04-24,HEALTH_RISK,MEDIUM,RESOLVED
ALT000047,D001,2024-05-16,WATERBORNE,MEDIUM,RESOLVED
ALT000048,D001,2024-05-09,WATERBORNE,MEDIUM,RESOLVED
ALT000049,D001,2024-06-05,WATERBORNE,HIGH,RESOLVED
ALT000050,D001,2024-06-10,WATERBORNE,HIGH,RESOLVED
ALT000051,D001,2024-06-18,WATERBORNE,HIGH,RESOLVED
ALT000052,D001,2024-06-25,WATERBORNE,HIGH,RESOLVED
ALT000053,D001,2024-07-27,WATERBORNE,HIGH,RESOLVED
ALT000054,D001,2024-07-07,WATERBORNE,HIGH,RESOLVED
ALT000055,D001,2024-07-19,WATERBORNE,HIGH,RESOLVED
ALT000056,D001,2024-07-03,WATERBORNE,HIGH,RESOLVED
ALT000057,D001,2024-08-23,OUTBREAK,HIGH,RESOLVED
ALT000058,D001,2024-08-15,OUTBREAK,HIGH,RESOLVED
ALT000059,D001,2024-08-18,OUTBREAK,HIGH,RESOLVED
ALT000060,D001,2024-08-24,OUTBREAK,HIGH,RESOLVED
