district_id,district_name,state_name,state_code,year,source_name,source_year,area_sq_km,coastal_district,population_total,population_male,population_female,rural_population,urban_population,rural_population_pct,urban_population_pct,population_density,population_growth_rate_pct,sex_ratio,child_sex_ratio_0_6,children_0_6_pop,households_total,avg_household_size,sc_population,sc_population_pct,st_population,st_population_pct,literacy_rate_pct,male_literacy_rate_pct,female_literacy_rate_pct,literate_population,illiterate_population,sanitation_coverage_pct,hh_with_latrine,hh_without_latrine,hh_with_flush_latrine,hh_with_pit_latrine,open_defecation_free,swachh_bharat_toilets_built,drinking_water_coverage_pct,hh_tap_water,hh_well_water,hh_other_water_source,hh_water_within_premises,hh_treated_water_pct,piped_water_urban_pct,piped_water_rural_pct,jjm_fhtc_connections,fluoride_affected_habitations,arsenic_affected_habitations,nitrate_affected_habitations,iron_affected_habitations,total_wq_affected_habitations,habitations_safe_water,water_quality_issue_count,water_testing_labs_count,water_samples_tested,water_samples_failed_pct,sub_centres_count,phc_count,chc_count,subdivisional_hospitals,district_hospitals,mobile_medical_units,total_govt_health_facilities,govt_hospital_beds,govt_doctors_count,govt_nurses_count,asha_workers,anganwadi_centres,health_facility_count,infant_mortality_rate,under5_mortality_rate,maternal_mortality_ratio,stunting_pct,wasting_pct,anemia_women_pct,institutional_delivery_pct,full_immunization_pct,antenatal_care_pct,poverty_rate_pct,bpl_households,bpl_household_pct,electricity_access_pct,avg_monthly_income_inr,flood_risk,drought_risk,cyclone_risk,vulnerability_score_raw,risk_tier,population_at_risk,waterborne_disease_index,public_health_risk_score
TN_CHEN_2011,Chennai,Tamil Nadu,TN,2011,Census2011,2011,426,1,6953331,3445379,3507952,924320,6029011,13.29,86.71,16322.37,1.28,1018.2,965.4,744660,1757557,3.96,1587250,22.83,379714,5.46,79.57,84.38,76.61,5532876,1420455,87.18,1532159,225398,874658,355848,0,0,85.01,903417,375123,479017,1053794,73.65,97.76,63.76,0,6,8,6,7,27,167,27,1,1951,6.66,259,44,9,2,1,6,315,903,308,398,924,5843,315,18.2,22.2,81.9,24.88,13.17,39.04,89.81,77.62,75.4,2.71,47649,2.71,86.37,23256,HIGH,MEDIUM,HIGH,22.581,HIGH,157013167,0.1926,11.419
TN_CHEN_2016,Chennai,Tamil Nadu,TN,2016,RHS2016,2016,426,1,7472657,3716926,3755731,993355,6479302,13.29,86.71,17541.45,0.95,1010.4,931.9,695026,1893415,3.95,2016606,26.99,316853,4.24,84.91,88.45,79.77,6344718,1127939,84.53,1600451,292964,1260553,295174,0,0,93.92,1050696,401697,441022,1596723,38.18,99,70.44,0,7,5,0,7,19,271,19,4,1420,21.92,202,27,7,1,1,2,238,890,270,368,993,7559,238,23.6,27.8,63.5,27.73,13.15,52.03,99.76,85.39,90.1,1.5,28401,1.5,98.97,37256,HIGH,LOW,HIGH,20.056,HIGH,149871608,0.1599,10.1741
TN_CHEN_2018,Chennai,Tamil Nadu,TN,2018,DataGovIN_WaterQuality,2018,426,1,7533252,3799881,3733371,1001410,6531842,13.29,86.71,17683.69,0.98,982.5,956.4,761680,1761258,4.28,1225600,16.27,316758,4.2,81.18,88.91,78.35,6115183,1418069,87.31,1537774,223484,1089208,340338,0,218541,90.41,1255503,517788,-12033,1198534,81.45,99,67.81,0,5,8,1,20,34,122,34,6,1612,6.02,281,43,12,3,1,2,340,1169,336,725,1001,6965,340,20.5,28.6,101.5,20.69,12.89,51.62,86.84,93.17,98.12,1.5,26418,1.5,99.76,33507,HIGH,LOW,HIGH,21.506,HIGH,162010117,0.1958,10.8818
TN_CHEN_2016,Chennai,Tamil Nadu,TN,2016,NFHS4_2015-16,2016,426,1,7494677,3749973,3744704,996282,6498395,13.29,86.71,17593.14,1.17,998.6,946.9,687568,1929279,3.88,1304775,17.41,295405,3.94,81.76,86.15,78.51,6127644,1367033,85.05,1640764,288515,1356878,309490,0,0,85.53,1167970,323089,438220,1453963,78.07,98.36,64.15,0,10,1,8,7,26,125,26,5,400,3.01,284,43,10,4,1,2,342,1021,379,528,996,8991,342,22.8,28.3,99.7,29.97,21.81,40.36,91.34,84.13,87.49,1.68,32428,1.68,90.74,40632,HIGH,MEDIUM,HIGH,22.778,HIGH,170713752,0.2037,11.5326
TN_CHEN_2021,Chennai,Tamil Nadu,TN,2021,NFHS5_2019-21,2021,426,1,8073949,4093281,3980668,1073285,7000664,13.29,86.71,18952.93,0.92,972.5,933.3,803916,2061564,3.92,1244999,15.42,242638,3.01,81.34,87.62,76.51,6567081,1506868,97.56,2011307,50257,1297113,306026,1,44110,99.0,1257838,626191,177535,1614393,50.71,99,74.25,118746,13,8,10,15,46,73,46,2,1575,14.91,238,40,8,1,1,6,288,952,275,393,1073,7935,288,22.7,25.3,73.1,32.03,10.82,39.63,100.0,87.48,91.77,1.5,30923,1.5,96.77,48732,HIGH,LOW,HIGH,19.195,HIGH,154979451,0.175,9.7385
TN_CHEN_2022,Chennai,Tamil Nadu,TN,2022,RuralHealthStat2022,2022,426,1,7866133,3952127,3914006,1045660,6820473,13.29,86.71,18465.1,0.98,990.4,969.2,692215,1875525,4.19,1620592,20.6,277629,3.53,82.15,85.96,77.94,6461980,1404153,97.21,1823127,52398,1388676,386833,1,36051,93.02,1066122,361143,448260,1374172,82.25,99,69.77,181355,9,8,0,17,34,122,34,2,1317,2.72,293,55,11,3,1,1,363,1099,358,642,1045,7454,363,18.0,23.6,97.0,24.81,13.01,59.8,88.36,92.72,93.25,1.5,28132,1.5,91.48,30402,HIGH,MEDIUM,HIGH,18.267,HIGH,143690651,0.1565,9.2487
TN_CHEN_2011,Chennai,Tamil Nadu,TN,2011,CensusHH2011,2011,426,1,6958099,3460214,3497885,924953,6033146,13.29,86.71,16333.57,1.42,1010.9,968.7,794377,1562507,4.45,879386,12.64,194064,2.79,84.51,88.91,79.3,5880369,1077730,89.76,1402550,159957,939573,415477,0,0,89.14,960959,452565,148983,1246191,61.81,99,66.85,0,4,3,2,5,14,171,14,1,436,19.54,187,33,6,4,1,6,231,915,224,568,924,6293,231,35.2,47.8,71.7,34.33,15.52,45.32,95.52,79.78,80.59,2.26,35341,2.26,87.62,31605,HIGH,MEDIUM,HIGH,22.661,HIGH,157677481,0.1768,11.5486
TN_CHEN_2023,Chennai,Tamil Nadu,TN,2023,SBM_SBMG2023,2023,426,1,7958907,3994825,3964082,1057993,6900914,13.29,86.71,18682.88,1.37,992.3,954.3,864280,1969060,4.04,1510783,18.98,471261,5.92,82.21,86.82,78.0,6543006,1415901,99.0,1949369,19691,1467266,394230,1,18113,94.7,1046326,442349,480385,1499260,82.99,99,71.03,190513,6,5,6,2,19,231,19,6,373,7.68,253,36,8,1,1,6,299,922,292,419,1057,8480,299,22.2,25.7,80.9,21.98,18.98,42.18,97.67,88.33,89.52,1.5,29535,1.5,94.84,17615,HIGH,MEDIUM,HIGH,17.233,HIGH,137155844,0.1179,8.7548
TN_CHEN_2023,Chennai,Tamil Nadu,TN,2023,JJM_2023,2023,426,1,8255276,4083863,4171413,1097389,7157887,13.29,86.71,19378.58,1.16,1021.4,966.3,901450,2054934,4.02,1185264,14.36,101628,1.23,89.42,94.65,86.62,7381592,873684,99.0,2034384,20550,1644694,386561,1,18610,99.0,1350534,665706,38694,1658296,76.99,99,74.25,123308,12,7,6,7,32,85,32,5,1192,14.53,302,42,8,1,1,4,354,943,274,458,1097,7510,354,30.2,34.3,41.0,23.69,16.37,51.41,93.39,95.66,91.44,1.5,30824,1.5,100.0,25554,HIGH,LOW,HIGH,17.791,HIGH,146869615,0.1531,9.0782
TN_CHEN_2013,Chennai,Tamil Nadu,TN,2013,DLHS4_2012-13,2013,426,1,7191835,3569985,3621850,956024,6235811,13.29,86.71,16882.24,1.44,1014.5,953.7,641160,1721314,4.18,1129131,15.7,321456,4.47,85.11,91.43,82.69,6121206,1070629,83.4,1435545,285769,974137,392435,0,0,89.82,1060110,360488,300716,1146251,44.09,99,67.37,0,13,6,9,0,28,271,28,3,976,8.55,264,42,13,3,1,3,323,1344,327,560,956,7061,323,25.7,30.4,87.4,25.18,18.03,57.16,95.31,93.45,91.83,2.31,39758,2.31,97.29,32604,HIGH,LOW,HIGH,22.773,HIGH,163779658,0.2043,11.5526
